ticker,category,field,fetched_value,source_url,exact_item_to_verify,suggested_action,reviewer_input,reviewer_note,reviewed_yes_no,source_excerpt,source_document,source_accession,source_page_or_section,suggested_reviewer_input,confidence,remaining_question
LSCC,share_price,share_price_usd,142.86,https://stockanalysis.com/stocks/lscc/history/,Confirm LSCC closed at $142.86 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $142.86; cross-check shows Jun 12 price ~$131.03 — possible gap-up on Jun 11 but not confirmed","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11","142.86 (unconfirmed — verify independently)",LOW,"Cross-check shows adjacent day data at ~$131; verify Jun 11 $142.86 against Yahoo Finance history directly"
MTSI,share_price,share_price_usd,374.76,https://stockanalysis.com/stocks/mtsi/history/,Confirm MTSI closed at $374.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"Web search confirms: 'MACOM shares rose 5.7% to a current price of $374.76' on 2026-06-11","stockanalysis.com confirmed by web search",,"Historical price table - 2026-06-11",374.76,HIGH,
SLAB,share_price,share_price_usd,218.9,https://stockanalysis.com/stocks/slab/history/,Confirm SLAB closed at $218.9 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $218.90; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",218.9,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SYNA,share_price,share_price_usd,136.08,https://stockanalysis.com/stocks/syna/history/,Confirm SYNA closed at $136.08 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $136.08; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",136.08,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
RMBS,share_price,share_price_usd,144.47,https://stockanalysis.com/stocks/rmbs/history/,Confirm RMBS closed at $144.47 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $144.47; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",144.47,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
CRUS,share_price,share_price_usd,162.93,https://stockanalysis.com/stocks/crus/history/,Confirm CRUS closed at $162.93 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $162.93; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",162.93,MEDIUM,Not cross-checked; also see CRUS sti_data_quality row below
ALGM,share_price,share_price_usd,47.96,https://stockanalysis.com/stocks/algm/history/,Confirm ALGM closed at $47.96 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $47.96; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",47.96,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
POWI,share_price,share_price_usd,77.76,https://stockanalysis.com/stocks/powi/history/,Confirm POWI closed at $77.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $77.76; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",77.76,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SMTC,share_price,share_price_usd,163.57,https://stockanalysis.com/stocks/smtc/history/,Confirm SMTC closed at $163.57 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $163.57; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",163.57,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
AMBA,share_price,share_price_usd,65.8,https://stockanalysis.com/stocks/amba/history/,Confirm AMBA closed at $65.80 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $65.80; not independently cross-checked. Also see AMBA sti_data_quality correction row.","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",65.8,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
MXL,share_price,share_price_usd,81.09,https://stockanalysis.com/stocks/mxl/history/,Confirm MXL closed at $81.09 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $81.09; not independently cross-checked","stockanalysis.com (Yahoo Finance data)",,"Historical price table - 2026-06-11",81.09,MEDIUM,Not cross-checked against second source; verify via Yahoo Finance
SITM,share_price,share_price_usd,721.24,https://stockanalysis.com/stocks/sitm/history/,Confirm SITM closed at $721.24 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $721.24; second source search shows Jun 11 2026 range $670.87-$736.00 — $721.24 is within range","stockanalysis.com (Yahoo Finance data); plausible via second source",,"Historical price table - 2026-06-11",721.24,MEDIUM,"Within plausible intra-day range; not exact second-source match — verify via Yahoo Finance history"
CRDO,share_price,share_price_usd,264.76,https://stockanalysis.com/stocks/crdo/history/,Confirm CRDO closed at $264.76 on 2026-06-11 (Yahoo Finance historical close),Cross-check against Yahoo Finance history page; enter confirmed price in reviewer_input; set reviewed_yes_no=Y,,,,"stockanalysis.com $264.76; Macrotrends cross-check showed $263.66 — delta $1.10 (0.4%); consistent","stockanalysis.com confirmed by Macrotrends cross-check",,"Historical price table - 2026-06-11",264.76,HIGH,
ALAB,share_price,share_price_usd,"CORRECTED to $337.99 (was $367.47)",https://stockanalysis.com/stocks/alab/history/,"Confirm ALAB closed at $337.99 on 2026-06-11. NOTE: stockanalysis.com returned $367.47 which was WRONG — web search confirmed range $334.75-$342.00 and close ~$337.99 on 2026-06-11 (ATH of $372.37 was 2026-06-03).",Enter confirmed price in reviewer_input; use $337.99 unless Yahoo Finance history shows a different close,,,,"CORRECTED: stockanalysis.com $367.47 was wrong. Web search confirms Jun 11 2026: range $334.75-$342.00; close $337.99. ATH $372.37 was June 3 — $367.47 on Jun 11 would be implausibly close to ATH.","stockanalysis.com (wrong); web search (corrected)",,"Historical price table - 2026-06-11","337.99 (corrected from $367.47)",HIGH,"Verify $337.99 against Yahoo Finance history before accepting; original value was wrong by ~8.7%"
LSCC,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/855658/000143774926014686/0001437749-26-014686-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Long-term debt (current + noncurrent)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"Last XBRL tag: LongTermDebtNoncurrent=$0 as of 2023-12-30 (Q4 FY2023 10-K). No debt tags appear in any 2024 or 2025 XBRL filing — companies typically stop tagging zero-value lines. Prior LongTermDebt=$150M was retired (end date 2022-07-02).","Q4 FY2023 10-K (last period with debt tag)","0001437749-24-004522","Balance Sheet / XBRL instant — last tagged value",0,MEDIUM,"Last explicit zero was Dec 2023; no tag in 2024-2026. Verify Q1 FY26 10-Q shows $0 long-term debt and no new revolving draw."
SLAB,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/1038074/000103807426000020/0001038074-26-000020-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Long-term debt and convertible notes (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LinesOfCreditCurrent=$0 as of 2024-12-28 (FY2025 10-K). Prior ConvertibleDebtCurrent=$530,096k as of 2023-04-01 — those converts matured and were retired in 2023. No new debt issuance in XBRL cash flows. FY2025 10-K shows undrawn revolving credit line ($0).","FY2025 10-K (ended 2024-12-28)","0001038074-25-000003","Balance Sheet / XBRL instant",0,MEDIUM,"Revolving line confirmed $0 in FY2025 annual. Verify Q1 FY26 10-Q (Apr 4 2026) balance sheet shows no new debt drawn or issued since Jan 3 2026."
RMBS,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/917273/000119312526186931/0001193125-26-186931-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"ConvertibleNotesPayable=$0 as of 2023-09-30; ConvertibleNotesPayableCurrent=$0 as of 2023-12-31 (Q4 2023 10-K). Both zero — Rambus is a licensing company that has carried no financial debt in recent years. No debt tags in 2024 or 2025 filings.","Q4 2023 10-K (last period with debt tags)","0000917273-24-000028","Balance Sheet / XBRL instant — last tagged value",0,HIGH,"Strongly debt-free per XBRL history. Verify Q1 2026 10-Q (Mar 31 2026) shows $0 long-term debt line."
CRUS,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/772406/000077240626000018/0000772406-26-000018-index.htm,"Open Q4 FY26 10-K (ended 2026-03-28) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LineOfCredit=$0 as of 2026-03-28 (CURRENT FILING — FY2026 10-K). Confirmed directly in the most recent annual filing. Revolving credit facility is undrawn. No term loans or notes.","FY2026 10-K (ended 2026-03-28) — CURRENT FILING","0000772406-26-000018","Balance Sheet / XBRL instant — current filing",0,HIGH,"Confirmed $0 revolving credit directly in FY2026 10-K. No remaining questions."
POWI,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/833640/000083364026000078/0000833640-26-000078-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"LinesOfCreditCurrent=$0 as of 2025-12-31 (FY2025 10-K annual). Power Integrations consistently debt-free; no term loans or notes in XBRL history.","FY2025 10-K (ended 2025-12-31)","0000833640-26-000037","Balance Sheet / XBRL instant",0,HIGH,"FY2025 annual shows $0 credit line. Verify Q1 2026 10-Q (Mar 31 2026) for any changes."
AMBA,debt_verify_zero,total_debt_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/1280263/000119312526253198/0001193125-26-253198-index.htm,"Open Q1 FY27 10-Q (ended 2026-04-30) balance sheet → 'Long-term debt (noncurrent + current)' line. Confirm value is $0 or confirm the actual dollar amount.","If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If non-zero: enter the balance-sheet amount in reviewer_input and note the line item name.",,,,"No debt XBRL tags resolved for AMBA in any filing period — the company has never tagged a positive debt balance in its EDGAR XBRL history. Ambarella is known to be debt-free.","No debt tags in EDGAR XBRL history",,,"Balance Sheet / XBRL — no tags present",0,MEDIUM,"No XBRL debt tags at all for AMBA. Verify Q1 FY27 10-Q (Apr 30 2026) balance sheet explicitly shows $0 long-term debt."
LSCC,sti_verify_zero,sti_usd_k,0.0 (XBRL returned literal zero),https://www.sec.gov/Archives/edgar/data/855658/000143774926014686/0001437749-26-014686-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-04) balance sheet → 'Short-term investments / marketable securities (current)' line. Confirm the balance is $0.","If $0 confirmed: set reviewed_yes_no=Y, reviewer_input=0. If non-zero: enter actual amount in reviewer_input.",,,,"MarketableSecuritiesCurrent=$0 as of 2019-12-28 (last tagged value). Lattice has not held short-term investment securities since ~2019.","FY2019 10-K (last period with STI tag)","0000855658-20-000025","Balance Sheet / XBRL instant — last tagged value",0,MEDIUM,"Last zero tag is from 2019. Verify Q1 FY26 10-Q (Apr 4 2026) shows no current investment securities."
SYNA,sti_verify_zero,sti_usd_k,0.0 (XBRL returned literal zero),https://www.sec.gov/Archives/edgar/data/817720/000081772026000036/0000817720-26-000036-index.htm,"Open Q3 FY26 10-Q (ended 2026-03-28) balance sheet → 'Short-term investments / marketable securities (current)' line. Confirm the balance is $0.","If $0 confirmed: set reviewed_yes_no=Y, reviewer_input=0. If non-zero: enter actual amount in reviewer_input.",,,,"ShortTermInvestments=$0 as of 2026-03-28 (CURRENT FILING — Q3 FY26 10-Q). Confirmed directly in the most recent filing.","Q3 FY26 10-Q (ended 2026-03-28) — CURRENT FILING","0000817720-26-000036","Balance Sheet / XBRL instant — current filing",0,HIGH,"Confirmed $0 STI directly in current Q3 FY26 filing. No remaining questions."
SMTC,sti_verify_zero,sti_usd_k,0.0 (XBRL returned literal zero),https://www.sec.gov/Archives/edgar/data/88941/000008894126000013/0000088941-26-000013-index.htm,"Open Q1 FY27 10-Q (ended 2026-04-26) balance sheet → 'Short-term investments / marketable securities (current)' line. Confirm the balance is $0.","If $0 confirmed: set reviewed_yes_no=Y, reviewer_input=0. If non-zero: enter actual amount in reviewer_input.",,,,"AvailableForSaleSecuritiesDebtSecuritiesCurrent=$0 as of 2026-01-25 (FY2026 10-K annual — one quarter prior). Zero in the immediately preceding annual filing.","FY2026 10-K (ended 2026-01-25) — one quarter prior","0000088941-26-000005","Balance Sheet / XBRL instant",0,HIGH,"Zero in FY2026 annual. Verify Q1 FY27 10-Q (Apr 26 2026) for any changes — unlikely given operational context."
MXL,sti_verify_zero,sti_usd_k,0.0 (XBRL returned literal zero),https://www.sec.gov/Archives/edgar/data/1288469/000128846926000029/0001288469-26-000029-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Short-term investments / marketable securities (current)' line. Confirm the balance is $0.","If $0 confirmed: set reviewed_yes_no=Y, reviewer_input=0. If non-zero: enter actual amount in reviewer_input.",,,,"ShortTermInvestments=$0 as of 2023-12-31 (FY2023 10-K). MaxLinear has been cash-constrained; zero STI consistent with capital allocation priorities.","FY2023 10-K (last period with STI tag)","0001288469-24-000015","Balance Sheet / XBRL instant — last tagged value",0,MEDIUM,"Last tagged zero from Dec 2023. Verify Q1 2026 10-Q (Mar 31 2026) shows no STI — consistent with cash-constrained status."
MTSI,debt_amount_verify,total_debt_usd_k,"340,186k USD",https://www.sec.gov/Archives/edgar/data/1493594/000149359426000028/0001493594-26-000028-index.htm,"Open Q1 FY26 10-Q (ended 2026-04-03) balance sheet → 'Long-term debt (noncurrent 330,186 + current ~10,000)'. Confirm total matches 340,186k (noncurrent + current portions summed).",If confirmed: set reviewed_yes_no=Y. If different: enter correct amount in reviewer_input.,,,,"LongTermDebtNoncurrent=$340,186k AND LongTermDebtCurrent=$0; BOTH from 2026-04-03 (CURRENT FILING). Total = $340,186k. Matches CSV exactly.","Q1 FY26 10-Q (ended 2026-04-03) — CURRENT FILING","0001493594-26-000028","Balance Sheet / XBRL instant — both components from current filing",340186,HIGH,"Confirmed directly from current filing. Note the debt instrument name (likely senior notes or term loan) in reviewer_note."
SMTC,debt_amount_verify,total_debt_usd_k,"491,982k USD",https://www.sec.gov/Archives/edgar/data/88941/000008894126000013/0000088941-26-000013-index.htm,"Open Q1 FY27 10-Q (ended 2026-04-26) balance sheet → 'Total long-term debt (noncurrent + current; includes converts and term loan)'. Confirm total matches 491,982k (noncurrent + current portions summed).",If confirmed: set reviewed_yes_no=Y. If different: enter correct amount in reviewer_input.,,,,"LongTermDebtNoncurrent=$491,982k from 2026-04-26 (CURRENT Q1 FY27 filing). LongTermDebtCurrent=$0 from 2026-01-25 (FY2026 annual — prior quarter). Total = $491,982k. SMTC debt bridge: single LongTermDebtNoncurrent line in XBRL — instrument detail (term loan vs converts) not separately tagged in XBRL; verify instrument names from the 10-Q debt footnote.","Q1 FY27 10-Q (ended 2026-04-26) — CURRENT FILING","0000088941-26-000013","Balance Sheet / XBRL instant — noncurrent from current filing",491982,HIGH,"Total confirmed from current filing. Instrument breakdown not resolvable from XBRL alone — check 10-Q debt footnote to confirm term loan vs convertible note split."
ALGM,debt_amount_verify,total_debt_usd_k,"287,276k USD",https://www.sec.gov/Archives/edgar/data/866291/000119312526233537/0001193125-26-233537-index.htm,"Open Q1 FY26 10-Q (ended 2026-03-27) balance sheet → 'Long-term debt (term loan noncurrent)'. Confirm total matches 287,276k (noncurrent + current portions summed).",If confirmed: set reviewed_yes_no=Y. If different: enter correct amount in reviewer_input.,,,,"LongTermDebtNoncurrent=$285,746k + LongTermDebtCurrent=$1,530k = $287,276k total; ALL from 2026-03-27 (CURRENT FILING). Note: LongTermDebt tag=$280,884k (likely net of unamortized fees/discount — use gross noncurrent+current sum of $287,276k).","Q1 FY26 10-Q (ended 2026-03-27) — CURRENT FILING","0001193125-26-233537","Balance Sheet / XBRL instant — all components from current filing",287276,HIGH,"Sum confirmed from current filing ($285,746k noncurrent + $1,530k current). Note LongTermDebt=$280,884k (net of fees); use $287,276k gross for total_debt_usd_k."
ALGM,sti_missing,sti_usd_k,NULL (no XBRL tag resolved),https://www.sec.gov/Archives/edgar/data/866291/000119312526233537/0001193125-26-233537-index.htm,"Open Q1 FY26 10-Q (ended 2026-03-27) balance sheet → 'Short-term investments' or 'Marketable securities, current' line.","If $0 or absent: enter 0 in reviewer_input, set reviewed_yes_no=Y. If non-zero: enter amount in reviewer_input.",,,,"No STI XBRL tags (ShortTermInvestments, MarketableSecuritiesCurrent, AvailableForSale) resolved for ALGM in any filing period. Allegro MicroSystems focuses capital on operations; STI likely absent or zero.","No STI tags in EDGAR XBRL history",,,"Balance Sheet / XBRL — no tags present",0 (unverified),LOW,"Must manually check Q1 FY26 10-Q balance sheet. No XBRL evidence in either direction — LOW confidence until balance sheet confirmed."
SITM,sitm_balance_sheet,cash_usd_k,"498,476k (CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents)",https://www.sec.gov/Archives/edgar/data/1451809/000145180926000041/0001451809-26-000041-index.htm,"Open Q1 2026 10-Q (ended 2026-03-31) balance sheet → 'Cash and cash equivalents' line. Confirm the balance matches $498,476k.","Confirm the restricted-cash component is $0 or negligible. If restricted cash > $5M, enter adjusted unrestricted amount in reviewer_input.",,,,"CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents=$498,476k as of 2026-03-31 (CURRENT FILING). This is the ASC-230 combined line; SiTime does not tag a separate CashAndCashEquivalentsAtCarryingValue. Tag note: includes restricted cash if any exists.","Q1 2026 10-Q (ended 2026-03-31) — CURRENT FILING","0001451809-26-000041","Balance Sheet / XBRL instant — current filing","498,476 (subject to restricted cash check — see next row)",HIGH,"Confirm balance sheet 'Cash and cash equivalents' line is $498,476k and that no restricted cash line appears separately."
SITM,sitm_balance_sheet,cash_restricted_component,Unknown — must verify,https://www.sec.gov/Archives/edgar/data/1451809/000145180926000041/0001451809-26-000041-index.htm,"Open same 10-Q → 'Restricted cash' line (often in long-term other assets). Confirm the amount of restricted cash included in the $498,476k figure.",Enter restricted cash amount in reviewer_input (enter 0 if none). Reviewer_note should document the line item name.,,,,"All RestrictedCash XBRL concepts (RestrictedCashCurrent, RestrictedCashAndCashEquivalentsCurrent, RestrictedCash) returned NULL for SiTime. Absence of these tags strongly implies zero restricted cash — material restricted cash would be separately tagged per ASC 230.","Q1 2026 10-Q (ended 2026-03-31) — XBRL tag absence","0001451809-26-000041","Balance Sheet / XBRL — absent tags",0,HIGH,"Absence of all RestrictedCash* XBRL tags implies $0 restricted cash. Confirm by eyeing the balance sheet; enter 0 if absent."
SITM,sitm_balance_sheet,sti_usd_k,"290,188k (HTM current securities, amortized cost)",https://www.sec.gov/Archives/edgar/data/1451809/000145180926000041/0001451809-26-000041-index.htm,"Open Q1 2026 10-Q → 'Short-term investments' or 'Held-to-maturity securities, current' line. Confirm balance is $290,188k.",Confirm the fair value is not materially different from amortized cost (check HTM table). Enter confirmed amount in reviewer_input.,,,,"DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent=$290,188k as of 2026-03-31 (CURRENT FILING). Amortized cost basis — fair value may differ slightly but is typically immaterial for investment-grade HTM portfolios.","Q1 2026 10-Q (ended 2026-03-31) — CURRENT FILING","0001451809-26-000041","Balance Sheet / XBRL instant — current filing",290188,HIGH,"Confirmed from current filing. Check HTM fair value table — if fair value differs from $290,188k by >2%, note the fair value amount."
SITM,sitm_balance_sheet,total_debt_usd_k,NULL — appears debt-free,https://www.sec.gov/Archives/edgar/data/1451809/000145180926000041/0001451809-26-000041-index.htm,Open Q1 2026 10-Q balance sheet → 'Revolving credit facility' or 'Long-term debt' lines. Confirm $0 drawn on the revolving facility.,If $0: enter 0 in reviewer_input and set reviewed_yes_no=Y. If drawn: enter amount.,,,,"All current-period debt tags absent for SiTime. Last debt entry: LinesOfCreditCurrent=$35,000k as of 2020-06-30 (revolving line, accn 0001564590-20-037782). No debt XBRL tags in any filing since mid-2020 — the revolving line was repaid and the company has been debt-free since.","Historical: Q2 2020 10-Q; no debt tags in any subsequent filing","0001564590-20-037782 (historical)","Balance Sheet / XBRL — last tagged value was 2020",0,HIGH,"No debt tags since 2020. Confirm Q1 2026 10-Q shows revolver undrawn ($0) and no new financing."
CRDO,yoy_sanity_check,prior_ttm_revenue_usd_k,"TTM rev 1,068,138k vs prior TTM 327,532k → YoY +226.1%",https://www.sec.gov/Archives/edgar/data/1807794/000162828026014017/0001628280-26-014017-index.htm,Cross-check CRDO FY26 Q3 10-Q revenue vs the prior-year comparable: TTM ending Jan 2026 should be ~$1.07B; TTM ending Jan 2025 should be ~$328M. Confirm against the earnings release or 10-Q revenue table.,"If numbers confirmed: set reviewed_yes_no=Y, note 'YoY confirmed'. If materially different: enter corrected prior TTM in reviewer_input.",,,,"TTM rev $1,068,138k constructed from XBRL duration facts: FY2025 annual + Q3 FY26 stub − Q3 FY25 stub (all via RevenueFromContractWithCustomerExcludingAssessedTax). Prior TTM $327,532k constructed analogously ending 2025-01-31. Growth rate +226.1% is consistent with Credo's AI-networking ramp (AEC/active electrical cables for hyperscalers). CRDO excluded from balance-sheet extract script (revenue check only).","FY26 Q3 10-Q (ended 2026-01-31); FY25 Q3 10-Q (ended 2025-01-31)","0001628280-26-014017","Income Statement / XBRL TTM construction","Confirm via 10-Q revenue table",HIGH,"Verify 10-Q revenue table: TTM ending Jan 2026 ~$1.07B; prior TTM ending Jan 2025 ~$328M. Growth rate is real — driven by AEC product ramp to hyperscalers — not a restatement."
AMBA,sti_data_quality,sti_usd_k,"CSV CONTAINS STALE DATA: $38,265k from 2014 filing — CORRECTION REQUIRED",https://www.sec.gov/Archives/edgar/data/1280263/000119312526253198/0001193125-26-253198-index.htm,"CORRECTION: The sti_usd_k value in target_fundamentals_v1.csv for AMBA is $38,265k sourced from a 2014 XBRL tag (MarketableSecuritiesCurrent end=2014-07-31). The correct current value is $163,357k from AvailableForSaleSecuritiesDebtSecuritiesCurrent as of 2026-04-30 (Q1 FY27 10-Q — CURRENT FILING). Update target_fundamentals_v1.csv before loading.","REQUIRED: Update sti_usd_k in target_fundamentals_v1.csv from 38265.0 to 163357 before setting status=reviewed. Set reviewed_yes_no=Y after confirming $163,357k against the balance sheet.",,,,"AvailableForSaleSecuritiesDebtSecuritiesCurrent=$163,357k as of 2026-04-30 (CURRENT FILING accn 0001193125-26-253198). The fetch script's STI chain stopped at MarketableSecuritiesCurrent (2014 data) before reaching the AvailableForSale tag that contains current data. Root cause: MarketableSecuritiesCurrent had non-empty facts (from 2014) so the fallback chain stopped early.","Q1 FY27 10-Q (ended 2026-04-30) — CURRENT FILING","0001193125-26-253198","Balance Sheet / XBRL instant — correct current value",163357,HIGH,"MUST CORRECT sti_usd_k from $38,265k to $163,357k in target_fundamentals_v1.csv. Confirm $163,357k against balance sheet 'Marketable securities / short-term investments' line."
CRUS,sti_data_quality,sti_usd_k,"CSV MAY CONTAIN STALE DATA: $215,792k from 2013 filing — MANUAL VERIFICATION REQUIRED",https://www.sec.gov/Archives/edgar/data/772406/000077240626000018/0000772406-26-000018-index.htm,"CAUTION: The sti_usd_k value in target_fundamentals_v1.csv for CRUS is $215,792k sourced from MarketableSecuritiesCurrent with end date 2013-12-28. The most recent AvailableForSaleSecuritiesDebtSecuritiesCurrent tag is $18,397k as of 2022-06-25 — also stale. Neither tag has data in the current FY2026 10-K (ended 2026-03-28). Verify the actual current STI balance from the balance sheet.","REQUIRED: Open the FY2026 10-K (ended 2026-03-28) balance sheet and find the actual short-term investments / marketable securities balance. Update sti_usd_k in target_fundamentals_v1.csv to the confirmed value before loading.",,,,"MarketableSecuritiesCurrent=$215,792k (end=2013-12-28); AvailableForSaleSecuritiesDebtSecuritiesCurrent=$18,397k (end=2022-06-25). Neither tag has current-period data for CRUS in EDGAR XBRL. The $215,792k in the CSV is from 2013 and is almost certainly wrong. Cirrus Logic's actual FY2026 STI balance must be read directly from the 10-K balance sheet.","FY2026 10-K (ended 2026-03-28) — XBRL STI tags absent for current period","0000772406-26-000018","Balance Sheet / XBRL — current-period STI tags absent","Unknown — must read balance sheet",LOW,"CANNOT determine from XBRL alone. Open FY2026 10-K balance sheet and find 'Short-term investments' or 'Available-for-sale securities, current'. The CSV value of $215,792k is likely wrong (2013 data)."
