ticker,cik,status,ttm_end_date,ttm_revenue_usd_k,prior_ttm_revenue_usd_k,ttm_gross_profit_usd_k,ttm_cfo_usd_k,ttm_capex_usd_k,cash_usd_k,sti_usd_k,total_debt_usd_k,shares_outstanding,shares_outstanding_date,share_price_usd,share_price_date,extraction_method,source_accessions,source_urls,fetched_at,missing_fields,requires_manual_review,reviewed_by,reviewed_at,notes
LSCC,0000855658,reviewed,2026-04-04,574009.0,488736.0,392847.0,193470.0,44444.0,139956.0,0.0,0.0,137007857,2026-04-30,142.86,2026-06-11,sec_xbrl_api,0000855658-20-000025;0001437749-24-013962;0001437749-25-003987;0001437749-25-014540;0001437749-26-004100;0001437749-26-014686,https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/MarketableSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000855658/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:03+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in Q1 FY26 10-Q R4.htm (accn 0001437749-26-014686); total liabilities $158,820k operating only."
MTSI,0001493594,reviewed,2026-04-03,1073816.0,845205.0,597949.0,251611.0,55179.0,98521.0,566337.0,340186.0,76295774,2026-05-04,374.76,2026-06-11,sec_xbrl_api,0001493594-24-000040;0001493594-24-000060;0001493594-25-000029;0001493594-25-000054;0001493594-26-000028,https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/Revenues.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001493594/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:05+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,CIK confirmed by SEC ticker map. Share price $374.76 confirmed (stockanalysis.com + web search +5.7% on 2026-06-11).
SLAB,0001038074,reviewed,2026-04-04,820550.0,655725.0,486204.0,52514.0,34907.0,383089.0,55767.0,0.0,32981823,2026-04-28,218.9,2026-06-11,sec_xbrl_api,0001038074-25-000003;0001038074-25-000008;0001038074-26-000005;0001038074-26-000020;0001628280-24-017536,https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001038074/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T09:04:31+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in Q1 FY26 10-Q R2.htm (accn 0001038074-26-000020); total liabilities $167,927k operating only."
SYNA,0000817720,reviewed,2026-03-28,1172000.0,1038900.0,511100.0,139000.0,42300.0,404400.0,0.0,836700.0,38637685,2026-04-30,136.08,2026-06-11,sec_xbrl_api,0000817720-25-000041;0000817720-25-000073;0000817720-26-000036;0000950170-24-057227;0000950170-24-100261,https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000817720/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:09+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,Non-Dec fiscal year end (June); TTM formula is filing-relative so still valid. CIK confirmed.
RMBS,0000917273,reviewed,2026-03-31,721155.0,605417.0,573050.0,365814.0,30605.0,134324.0,651815.0,0.0,108136967,2026-03-31,144.47,2026-06-11,sec_xbrl_api,0000917273-24-000088;0000917273-25-000021;0000917273-25-000075;0001193125-26-057101;0001193125-26-186931,https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/AvailableForSaleSecuritiesDebtSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/ConvertibleNotesPayable.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/us-gaap/ConvertibleNotesPayableCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000917273/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T09:04:24+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in Q1 2026 10-Q R2.htm (accn 0001193125-26-186931); total liabilities $139,906k operating only."
CRUS,0000772406,reviewed,2026-03-28,1997379.0,1896077.0,1054172.0,650598.0,13988.0,800930.0,86697.0,0.0,50582893,2026-05-19,162.93,2026-06-11,sec_xbrl_api,0000772406-25-000014;0000772406-26-000018,https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/us-gaap/MarketableSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000772406/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:13+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"STI corrected 215792->86697: stale 2013 MarketableSecuritiesCurrent tag rejected; FY2026 10-K R3.htm (accn 0000772406-26-000018) shows Marketable securities current=$86,697k (long-term portion $266,160k excluded). Debt confirmed zero: LineOfCredit=$0 in FY2026 10-K; no other debt line in balance sheet."
ALGM,0000866291,reviewed,2026-03-27,890096.0,725006.0,411970.0,163069.0,38176.0,168753.0,0.0,287276.0,186222406,2026-05-18,44.54,2026-06-11,sec_xbrl_api,0000950170-25-076059;0001193125-26-233537,https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000866291/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:15+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"STI confirmed zero: no STI line in Q1 FY26 10-Q R2.htm (accn 0001193125-26-233537); only Restricted cash $6,604k present. Debt $287,276k is gross face value: $1,530k current + $285,746k noncurrent (LongTermDebt tag $280,884k is net of issuance costs; gross used for EV). Share price $44.54 confirmed by Yahoo Finance (range $44.00-$47.05 on 2026-06-11); stockanalysis.com shows incorrect $47.96 (date-shift error)."
POWI,0000833640,reviewed,2026-03-31,446283.0,432814.0,240352.0,105177.0,20668.0,63390.0,193814.0,0.0,55719984,2026-05-04,77.76,2026-06-11,sec_xbrl_api,0000833640-24-000107;0000833640-25-000043;0000833640-25-000120;0000833640-26-000037;0000833640-26-000078,https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/Revenues.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000833640/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:17+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in Q1 2026 10-Q R2.htm (accn 0000833640-26-000078); total liabilities $98,881k operating only."
SMTC,0000088941,reviewed,2026-04-26,1089933.0,954242.0,562319.0,189527.0,16305.0,163310.0,0.0,491982.0,93151168,2026-05-22,157.27,2026-06-11,sec_xbrl_api,0000088941-24-000065;0000088941-25-000068;0000088941-25-000101;0000088941-26-000005;0000088941-26-000013,https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/AvailableForSaleSecuritiesDebtSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0000088941/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:19+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Non-Dec fiscal year end (Jan); carries convertible + term debt. Debt $491,982k is current gross balance (single LongTermDebt XBRL tag); instrument-level convertible vs. term-loan split is a disclosure item — not a loading blocker for v1. Share price $157.27 confirmed by Yahoo Finance (range $157.27-$157.27 on 2026-06-11); stockanalysis.com shows incorrect $163.57 (date-shift error)."
AMBA,0001280263,reviewed,2026-04-30,405187.0,316264.0,238319.0,33092.0,1952.0,114443.0,163357.0,0.0,43868185,2026-05-28,64.0,2026-06-11,sec_xbrl_api,0000950170-24-069790;0000950170-25-046499;0000950170-25-080767;0001193125-26-119321;0001193125-26-253198;0001564590-21-016988,https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/us-gaap/MarketableSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001280263/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:21+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"STI corrected 38265->163357: stale 2014 MarketableSecuritiesCurrent tag rejected; Q1 FY27 10-Q R2.htm (accn 0001193125-26-253198) shows Marketable debt securities current=$163,357k. Debt confirmed zero: no debt line in balance sheet; total liabilities $189,020k operating only. Share price corrected from $65.80 to $64.00: stockanalysis.com date-shift error; Yahoo Finance confirms close=$64.00 (range $63.80-$64.53 on 2026-06-11)."
MXL,0001288469,reviewed,2026-03-31,508896.0,361192.0,290867.0,22147.0,11993.0,61077.0,0.0,123773.0,89545959,2026-04-16,81.09,2026-06-11,sec_xbrl_api,0001288469-24-000015;0001288469-24-000064;0001288469-25-000008;0001288469-25-000029;0001288469-26-000011;0001288469-26-000029,https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/LongTermDebtNoncurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001288469/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:23+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,Carries term-loan debt. CIK confirmed.
SITM,0001451809,reviewed,2026-03-31,379913.0,229989.0,211605.0,103305.0,49034.0,498476.0,290188.0,0.0,26396828,2026-05-01,721.24,2026-06-11,sec_xbrl_api,0001451809-24-000110;0001451809-25-000034;0001451809-25-000088;0001451809-26-000012;0001451809-26-000041,https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/us-gaap/LongTermDebtCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001451809/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T09:04:27+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,Debt confirmed zero: no debt line in Q1 2026 10-Q R2.htm (accn 0001451809-26-000041); last XBRL debt tags from 2020 (stale/inactive). Cash via us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents; balance sheet shows no separate restricted cash line — restricted component negligible. STI via us-gaap:DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent (held-to-maturity amortized cost current portion).
CRDO,0001807794,reviewed,2026-01-31,1068138.0,327532.0,724470.0,339872.0,56178.0,1220464.0,81000.0,0.0,184449940,2026-02-23,264.76,2026-06-11,sec_xbrl_api,0001628280-24-007677;0001628280-24-029629;0001628280-25-011738;0001628280-25-033813;0001628280-26-014017,https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/us-gaap/ShortTermInvestments.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001807794/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:28+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in FY26 Q3 10-Q R2.htm (accn 0001628280-26-014017); total liabilities $188,453k operating only. TTM $1,068,138k confirmed: FY2025 $436,775k + 9mo FY2026 $898,113k - 9mo FY2025 $266,750k = $1,068,138k. YoY +226.1% verified."
ALAB,0001736297,reviewed,2026-03-31,1001444.0,490474.0,760991.0,383400.0,40591.0,148285.0,1036189.0,0.0,171407939,2026-04-30,337.99,2026-06-11,sec_xbrl_api,0001736297-24-000006;0001736297-25-000003;0001736297-25-000031;0001736297-26-000010;0001736297-26-000020,https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/GrossProfit.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/NetCashProvidedByUsedInOperatingActivities.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/CashAndCashEquivalentsAtCarryingValue.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/us-gaap/AvailableForSaleSecuritiesDebtSecuritiesCurrent.json;https://data.sec.gov/api/xbrl/companyconcept/CIK0001736297/dei/EntityCommonStockSharesOutstanding.json,2026-06-12T06:53:30+00:00,,false,Avyukt Kochhar,2026-06-12T12:39:29Z,"Debt confirmed zero: no debt line in Q1 FY26 10-Q R2.htm (accn 0001736297-26-000020); total liabilities $165,267k operating only. Share price $337.99 confirmed by Yahoo Finance (range $334.75-$342.00 on 2026-06-11); stockanalysis.com shows incorrect $367.47 (date-shift error)."
